,Compounds,Neg,Neu,Pos,Date,Price_BTC,Open_BTC,High_BTC,Low_BTC,Pecent_Delta_BTC
49,0.150442244,0.062815789,0.828211911,0.107572022,23-Jan-18,"18,971.00","19,210.00","19,891.00","18,622.00",-1.13
50,0.121014328,0.066365174,0.821130348,0.108516418,24-Jan-18,"19,187.00","17,569.50","19,548.00","17,098.00",9.5
51,0.147997699,0.057814417,0.835110429,0.104016871,25-Jan-18,"17,522.00","16,396.00","18,098.00","16,352.00",6.95
52,0.085505395,0.073905897,0.821291092,0.103559598,26-Jan-18,"16,383.00","16,122.00","16,999.00","15,870.00",1.25
53,0.1473827,0.050676806,0.850558935,0.098747148,27-Jan-18,"16,181.00","17,010.00","17,288.00","15,674.00",-4.63
54,0.149950412,0.06046458,0.839476112,0.100054366,28-Jan-18,"16,967.00","16,754.00","17,500.00","16,234.00",1.27
55,0.121623797,0.064276983,0.84393238,0.091791938,29-Jan-18,"16,754.00","14,937.00","17,443.00","14,937.00",11.72
56,0.21033429,0.044958533,0.841992823,0.113060606,2-Jan-18,"14,997.00","14,660.00","15,728.00","12,748.00",2.3
57,0.05422035,0.092816084,0.79950979,0.107664336,30-Jan-18,"14,660.00","15,829.00","16,300.00","13,021.00",-7.62
58,0.178852149,0.048121951,0.846734611,0.105142857,3-Jan-18,"15,869.00","16,608.00","17,160.00","13,774.00",-4.41
59,0.157436879,0.05350108,0.842420626,0.103546436,4-Jan-18,"16,601.00","13,500.00","16,639.00","13,154.00",22.72
60,0.166238627,0.048213639,0.84841154,0.103379113,5-Jan-18,"13,527.00","11,590.00","13,598.00","11,590.00",16.66
61,0.18671596,0.04626914,0.845856302,0.107881037,6-Jan-18,"11,595.00","11,162.00","11,598.00","10,788.00",3.93
62,0.181571696,0.047499415,0.835182456,0.117305263,7-Jan-18,"11,157.00","10,880.00","11,842.00","10,299.00",2.54
63,0.180267582,0.047936237,0.842330492,0.109736111,8-Jan-18,"10,881.00","10,852.00","11,187.00","10,627.00",0.11
64,0.262211856,0.045938144,0.83193299,0.122118557,9-Jan-18,"10,869.00","9,907.00","10,949.00","9,370.10",9.71
65,0.203628421,0.053347368,0.851505263,0.095178947,10-Nov-17,"9,907.00","9,771.90","10,540.00","8,821.00",1.62
66,0.18859625,0.0606625,0.8360125,0.1033,11-Nov-17,"9,749.40","9,891.90","11,427.20","9,001.10",-1.5
67,0.197596296,0.055024691,0.840160494,0.104765432,12-Nov-17,"9,898.00","9,727.10","9,977.80","9,608.30",1.74
68,0.239621951,0.04647561,0.840195122,0.113304878,13-Nov-17,"9,728.80","9,303.90","9,760.70","9,268.90",4.43
69,0.179869792,0.038770833,0.866020833,0.095229167,14-Nov-17,"9,316.00","8,791.00","9,495.00","8,769.20",6.27
70,0.158989041,0.05069863,0.85090411,0.098369863,15-Nov-17,"8,766.20","8,191.60","8,770.00","8,132.90",7.01
71,0.185239831,0.061932203,0.836805085,0.101228814,16-Nov-17,"8,191.60","7,977.00","8,350.70","7,873.00",2.69
72,0.1508875,0.072708333,0.827236111,0.100027778,17-Nov-17,"7,977.10","8,230.00","8,267.60","7,977.10",-3.07
73,0.259813235,0.035720588,0.863367647,0.100897059,18-Nov-17,"8,230.10","8,097.30","8,310.00","8,064.30",1.64
74,0.155295798,0.049336134,0.838647059,0.112042017,19-Nov-17,"8,097.30","8,245.10","8,380.00","7,790.00",-1.79
75,0.140911009,0.04859633,0.873412844,0.078027523,1-Nov-17,"8,245.10","8,052.80","8,310.20","7,943.40",2.37
76,0.12429521,0.062053892,0.834688623,0.103263473,20-Nov-17,"8,054.20","7,770.60","8,126.90","7,652.00",3.61
77,0.140072727,0.059015152,0.841598485,0.099393939,21-Nov-17,"7,773.30","7,674.10","7,867.00","7,419.50",1.24
78,0.263542276,0.033073171,0.855634146,0.111325203,22-Nov-17,"7,677.90","7,865.00","8,029.80","7,511.10",-2.37
79,0.191439024,0.053585366,0.852813008,0.093609756,23-Nov-17,"7,864.20","7,273.70","8,012.90","7,099.90",8.05
80,0.263592857,0.043116071,0.819098214,0.137821429,24-Nov-17,"7,278.30","6,589.90","7,310.20","6,589.90",10.63
81,0.211279091,0.043290909,0.842827273,0.113863636,25-Nov-17,"6,579.20","6,476.50","6,687.80","6,315.40",1.62
82,0.171470079,0.036519685,0.876362205,0.087086614,26-Nov-17,"6,474.60","5,806.50","6,680.00","5,786.10",11.21
83,0.32298303,0.039533333,0.834884848,0.125575758,27-Nov-17,"5,822.10","6,282.40","6,465.00","5,426.00",-7.6
84,0.187400498,0.059467662,0.846542289,0.09399005,28-Nov-17,"6,300.70","6,541.20","6,788.00","6,166.00",-3.69
85,0.115038551,0.066336232,0.834907246,0.098747826,29-Nov-17,"6,542.20","7,123.30","7,313.10","6,405.20",-8.2
86,0.146208824,0.046509804,0.853186275,0.100303922,2-Nov-17,"7,126.20","7,447.00","7,447.00","7,017.60",-4.25
87,0.210092857,0.048952381,0.840442857,0.110614286,30-Nov-17,"7,442.40","7,102.00","7,895.00","7,029.90",4.77
88,0.147462821,0.061884615,0.837884615,0.10025641,3-Nov-17,"7,103.30","6,959.60","7,214.40","6,959.00",2.13
89,0.210191667,0.046916667,0.8399375,0.113125,4-Nov-17,"6,955.00","7,355.10","7,429.50","6,915.10",-5.78
90,0.281102222,0.031422222,0.860511111,0.108044444,5-Nov-17,"7,382.00","7,370.90","7,595.00","7,272.00",0.18
91,0.256397101,0.032057971,0.873318841,0.094637681,6-Nov-17,"7,369.00","7,104.00","7,521.10","6,936.50",1.24
92,0.202163768,0.042057971,0.876492754,0.081434783,7-Nov-17,"7,278.40","7,018.90","7,447.50","6,926.50",3.68
93,0.071275397,0.070150794,0.837896825,0.091960317,8-Nov-17,"7,019.90","6,735.00","7,315.10","6,724.50",4.35
94,0.170335922,0.055864078,0.852728155,0.091407767,9-Nov-17,"6,727.30","6,450.20","6,727.30","6,348.00",4.17
95,0.292551429,0.031457143,0.851257143,0.117314286,10-Oct-17,"6,458.30","6,129.90","6,472.10","6,082.70",5.44
96,0.36109,0.0433,0.8451,0.111675,11-Oct-17,"6,125.30","6,146.00","6,237.20","6,010.00",-0.5
97,0.020543103,0.068,0.86012069,0.07187931,12-Oct-17,"6,156.00","5,718.10","6,330.00","5,662.90",7.61
98,0.262360714,0.036910714,0.835589286,0.127482143,13-Oct-17,"5,720.60","5,759.80","5,863.90","5,634.70",-0.68
99,0.125423684,0.052078947,0.863289474,0.084605263,14-Oct-17,"5,759.60","5,890.00","6,010.20","5,681.20",-2.21
100,0.355902174,0.027043478,0.8365,0.136478261,15-Oct-17,"5,890.00","5,724.20","5,966.60","5,680.50",2.97
101,0.23208913,0.044869565,0.810913043,0.144217391,16-Oct-17,"5,720.00","5,509.90","5,743.90","5,367.90",3.82
102,0.182632813,0.041109375,0.8729375,0.085921875,17-Oct-17,"5,509.50","5,902.50","5,902.50","5,457.50",-6.73
103,0.221664815,0.0525,0.857351852,0.090203704,18-Oct-17,"5,906.90","5,980.50","6,051.00","5,639.80",-1.23
104,0.386663636,0.051636364,0.808545455,0.139818182,19-Oct-17,"5,980.50","6,005.10","6,069.60","5,717.90",-0.41
105,0.165913043,0.037565217,0.852086957,0.110391304,1-Oct-17,"6,005.10","5,984.90","6,190.00","5,873.60",0.34
106,0.249930233,0.036348837,0.851372093,0.112325581,20-Oct-17,"5,984.50","5,694.00","6,082.20","5,606.40",5.1
107,-0.018314286,0.053428571,0.915285714,0.031142857,21-Oct-17,"5,694.00","5,574.80","5,741.00","5,505.80",2.32
108,0.16010303,0.038060606,0.882545455,0.07930303,22-Oct-17,"5,565.00","5,597.70","5,597.90","5,114.30",-0.57
109,0.146543548,0.044854839,0.870629032,0.084532258,23-Oct-17,"5,597.10","5,764.80","5,779.00","5,511.00",-2.9
110,0.161016667,0.034625,0.875638889,0.089722222,24-Oct-17,"5,764.40","5,712.20","5,803.20","5,570.40",1.15
111,0.14360339,0.057627119,0.862542373,0.07979661,25-Oct-17,"5,698.60","5,838.70","5,876.90","5,450.00",-2.34
112,0.222567308,0.037423077,0.845076923,0.117480769,26-Oct-17,"5,835.00","5,636.80","5,854.30","5,567.30",3.52
113,0.280267347,0.030632653,0.845408163,0.124,27-Oct-17,"5,636.80","5,440.00","5,874.30","5,376.00",3.84
114,0.209975676,0.060108108,0.846594595,0.093378378,28-Oct-17,"5,428.50","4,824.90","5,437.60","4,815.10",12.51
115,0.29141,0.028775,0.819125,0.152175,29-Oct-17,"4,824.90","4,777.70","4,879.50","4,715.00",1
116,0.298623333,0.0255,0.881133333,0.093333333,2-Oct-17,"4,777.00","4,782.30","4,940.00","4,717.50",-0.11
117,0.237852174,0.022318841,0.877333333,0.100289855,30-Oct-17,"4,782.30","4,612.40","4,874.90","4,551.30",3.67
118,0.175750769,0.043553846,0.861784615,0.094630769,31-Oct-17,"4,613.10","4,435.90","4,630.00","4,417.60",3.99
119,0.13842,0.0303,0.886075,0.083625,3-Oct-17,"4,436.00","4,370.00","4,477.10","4,316.10",1.49
120,0.048052778,0.067166667,0.85175,0.081111111,4-Oct-17,"4,371.00","4,312.60","4,424.50","4,294.00",1.29
121,0.189685714,0.041428571,0.861,0.097571429,5-Oct-17,"4,315.40","4,215.90","4,364.60","4,134.90",2.38
122,0.186170968,0.019709677,0.895096774,0.085193548,6-Oct-17,"4,215.10","4,310.60","4,353.80","4,177.70",-2.23
123,0.156152,0.05104,0.85956,0.08932,7-Oct-17,"4,311.10","4,399.30","4,439.90","4,222.00",-2.02
124,0.280690323,0.100806452,0.762258065,0.136903226,8-Oct-17,"4,400.10","4,404.30","4,482.00","4,359.80",-0.1
125,0.1968775,0.047075,0.862275,0.09065,9-Oct-17,"4,404.30","4,366.60","4,420.50","4,257.70",0.85
126,0.360807143,0.023785714,0.866285714,0.109928571,18-Sep-17,"4,367.00","4,168.10","4,393.40","4,160.10",4.73
127,0.070669565,0.083434783,0.837869565,0.078695652,19-Sep-17,"4,169.90","4,190.00","4,244.60","4,024.70",-0.48
128,0.103507143,0.080285714,0.826071429,0.093714286,20-Sep-17,"4,190.00","4,207.50","4,268.60","4,125.00",-0.37
129,0.147605556,0.062333333,0.854444444,0.083222222,21-Sep-17,"4,205.40","3,881.60","4,226.50","3,878.10",8.41
130,0.109440909,0.072,0.832954545,0.094954545,22-Sep-17,"3,879.10","3,930.00","3,983.00","3,850.90",-1.3
131,0.4782125,0.020875,0.838,0.14125,23-Sep-17,"3,930.00","3,654.70","3,977.00","3,654.70",7.59
132,0.29305,0.0516,0.8259,0.1226,24-Sep-17,"3,652.80","3,779.60","3,781.30","3,620.00",-3.35
133,0.273945,0.0419,0.8629,0.09515,25-Sep-17,"3,779.60","3,598.70","3,808.00","3,559.10",5.03
134,0.169128571,0.065,0.740285714,0.194857143,26-Sep-17,"3,598.50","3,597.30","3,743.60","3,493.50",-0.14
135,0.221123077,0.053615385,0.824923077,0.121461538,27-Sep-17,"3,603.40","3,875.50","3,903.70","3,564.40",-6.97
136,0.258723077,0.044846154,0.874461538,0.080769231,28-Sep-17,"3,873.20","3,892.20","4,048.00","3,834.10",-0.69
137,0.386725,0.0155625,0.86925,0.1151875,29-Sep-17,"3,900.00","4,084.40","4,110.00","3,836.20",-4.51
138,0.182588235,0.042588235,0.868588235,0.088882353,30-Sep-17,"4,084.10","3,667.00","4,113.90","3,667.00",11.4
