Date,Price,Open,High,Low,Vol.,Change %
6-Feb-18,"7,673.80","6,946.60","7,860.00","6,000.00",192.76K,10.42
5-Feb-18,"6,949.90","8,185.20","8,378.00","6,658.80",131.29K,-15.25
4-Feb-18,"8,200.00","9,225.10","9,403.30","7,840.00",74.42K,-11.06
3-Feb-18,"9,219.40","8,887.10","9,495.00","8,189.60",51.91K,3.64
2-Feb-18,"8,895.80","9,181.00","9,201.00","7,972.20",123.34K,-3.11
1-Feb-18,"9,181.10","10,278.00","10,311.00","8,941.00",78.78K,-10.72
31-Jan-18,"10,284.00","10,170.00","10,411.00","9,761.00",43.23K,1.07
30-Jan-18,"10,175.00","11,215.00","11,250.00","9,864.90",61.28K,-9.25
29-Jan-18,"11,212.00","11,836.00","11,957.00","11,074.00",25.65K,-5.3
28-Jan-18,"11,839.00","11,455.10","12,181.00","11,398.00",29.62K,3.3
27-Jan-18,"11,461.00","11,068.00","11,683.00","10,822.00",34.40K,3.53
26-Jan-18,"11,070.00","11,144.00","11,647.00","10,298.00",56.75K,-0.68
25-Jan-18,"11,146.00","11,402.00","11,723.00","10,857.00",34.44K,-2.35
24-Jan-18,"11,414.00","10,811.00","11,529.00","10,454.00",43.82K,5.5
23-Jan-18,"10,819.00","10,770.00","11,383.00","9,901.10",63.85K,0.45
22-Jan-18,"10,771.00","11,519.00","11,886.00","10,009.00",66.35K,-6.45
21-Jan-18,"11,514.00","12,732.00","12,732.00","11,020.00",53.62K,-9.54
20-Jan-18,"12,728.00","11,462.00","13,002.00","11,425.00",46.30K,10.91
19-Jan-18,"11,476.00","11,036.00","11,879.00","10,649.00",48.55K,3.9
18-Jan-18,"11,045.00","11,101.00","11,881.00","10,515.00",85.24K,-0.33
17-Jan-18,"11,082.00","11,059.00","11,490.00","9,231.10",132.23K,0.09
16-Jan-18,"11,072.00","13,594.00","13,604.00","9,949.40",131.86K,-18.44
15-Jan-18,"13,575.00","13,558.00","14,350.00","13,307.00",33.46K,0.13
14-Jan-18,"13,558.00","14,190.00","14,391.00","12,874.30",35.60K,-4.46
13-Jan-18,"14,191.00","13,794.00","14,580.00","13,760.00",29.01K,2.96
12-Jan-18,"13,783.00","13,248.00","14,095.00","12,778.00",37.42K,3.9
11-Jan-18,"13,266.00","14,895.00","14,949.80","12,639.00",71.70K,-10.94
10-Jan-18,"14,896.00","14,426.00","14,896.00","13,338.00",57.33K,3.28
9-Jan-18,"14,423.00","14,902.00","15,355.00","14,122.00",43.44K,-3.4
8-Jan-18,"14,930.00","16,216.00","16,279.00","13,760.00",64.95K,-7.82
7-Jan-18,"16,196.00","17,163.00","17,176.00","15,726.00",30.84K,-5.62
6-Jan-18,"17,161.00","16,911.00","17,252.00","16,251.00",29.61K,1.44
5-Jan-18,"16,917.00","15,159.00","17,101.00","14,769.00",54.63K,11.59
4-Jan-18,"15,160.00","15,150.00","15,390.00","14,064.00",46.47K,0.03
3-Jan-18,"15,155.00","14,713.00","15,428.00","14,522.00",38.35K,3.03
2-Jan-18,"14,709.80","13,448.00","15,300.00","12,810.00",56.18K,10.15
1-Jan-18,"13,354.00","13,794.00","13,893.00","12,787.00",29.54K,-3.23
31-Dec-17,"13,800.00","12,385.00","14,140.00","12,183.90",43.29K,11.5
30-Dec-17,"12,377.00","14,308.00","14,403.00","11,690.00",75.43K,-13.55
29-Dec-17,"14,317.00","14,323.00","15,105.00","13,847.00",48.01K,0.01
28-Dec-17,"14,315.00","15,374.00","15,467.00","13,232.00",72.89K,-6.89
27-Dec-17,"15,374.00","15,680.00","16,494.00","14,463.00",54.99K,-1.95
26-Dec-17,"15,679.00","13,627.00","16,048.00","13,550.00",63.44K,15.09
25-Dec-17,"13,623.00","13,517.00","14,278.00","12,678.00",45.61K,1.09
24-Dec-17,"13,476.00","14,036.00","14,047.00","11,601.20",72.38K,-3.98
23-Dec-17,"14,035.00","13,173.00","14,986.00","12,755.00",59.92K,6.57
22-Dec-17,"13,170.00","15,650.00","15,826.00","10,718.00",179.00K,-15.94
21-Dec-17,"15,666.80","16,433.00","17,333.00","14,827.00",65.58K,-4.62
20-Dec-17,"16,425.00","17,340.00","17,709.00","15,500.00",82.16K,-5.3
19-Dec-17,"17,345.00","18,931.00","18,987.00","16,500.00",66.65K,-8.39
18-Dec-17,"18,934.00","18,959.00","19,171.00","18,010.00",53.58K,-0.2
17-Dec-17,"18,971.00","19,210.00","19,891.00","18,622.00",51.80K,-1.13
16-Dec-17,"19,187.00","17,569.50","19,548.00","17,098.00",48.27K,9.5
15-Dec-17,"17,522.00","16,396.00","18,098.00","16,352.00",63.11K,6.95
14-Dec-17,"16,383.00","16,122.00","16,999.00","15,870.00",45.72K,1.25
13-Dec-17,"16,181.00","17,010.00","17,288.00","15,674.00",62.88K,-4.63
12-Dec-17,"16,967.00","16,754.00","17,500.00","16,234.00",52.09K,1.27
11-Dec-17,"16,754.00","14,937.00","17,443.00","14,937.00",78.09K,11.72
10-Dec-17,"14,997.00","14,660.00","15,728.00","12,748.00",107.05K,2.3
9-Dec-17,"14,660.00","15,829.00","16,300.00","13,021.00",77.82K,-7.62
8-Dec-17,"15,869.00","16,608.00","17,160.00","13,774.00",124.11K,-4.41
7-Dec-17,"16,601.00","13,500.00","16,639.00","13,154.00",141.26K,22.72
