Compounds,Neg,Neu,Pos,Date
0.243702976,0.046883929,0.827416667,0.125717262,daily_general_discussion_december_10_2017
0.232836887,0.040673435,0.830798646,0.128531303,daily_general_discussion_december_11_2017
0.196553756,0.044517606,0.838239437,0.117252347,daily_general_discussion_december_12_2017
0.208199378,0.043121891,0.831312189,0.125569652,daily_general_discussion_december_13_2017
0.198583101,0.055600559,0.814141061,0.130273743,daily_general_discussion_december_14_2017
0.202853102,0.045899635,0.826956204,0.127149635,daily_general_discussion_december_15_2017
0.17674576,0.050890459,0.824681979,0.124429329,daily_general_discussion_december_16_2017
0.204331797,0.051639017,0.810463902,0.136360983,daily_general_discussion_december_17_2017
0.193444746,0.048114522,0.819970484,0.130743802,daily_general_discussion_december_18_2017
0.147753775,0.053057886,0.826333054,0.119782718,daily_general_discussion_december_19_2017
0.210122137,0.045427481,0.853519084,0.101053435,daily_general_discussion_december_1_2017
0.160272075,0.055322153,0.815121685,0.127223869,daily_general_discussion_december_20_2017
0.161376301,0.056547688,0.819104046,0.123632948,daily_general_discussion_december_21_2017
0.117665574,0.067870164,0.812285902,0.11919541,daily_general_discussion_december_22_2017
0.15881087,0.062374506,0.80276581,0.133866601,daily_general_discussion_december_23_2017
0.185124377,0.054997833,0.806752979,0.137176598,daily_general_discussion_december_24_2017
0.175753234,0.057987275,0.805656416,0.136369035,daily_general_discussion_december_25_2017
0.176468304,0.049366071,0.824526786,0.125221429,daily_general_discussion_december_26_2017
0.195714286,0.055285714,0.798728863,0.145989067,daily_general_discussion_december_27_2017
0.191470807,0.048884058,0.801730159,0.148694272,daily_general_discussion_december_28_2017
0.139099088,0.057768248,0.816596107,0.12320073,daily_general_discussion_december_29_2017
0.250085641,0.036184615,0.836112821,0.127692308,daily_general_discussion_december_2_2017
0.135735324,0.061622302,0.815022302,0.121908633,daily_general_discussion_december_30_2017
0.175364665,0.054774571,0.809233229,0.134425117,daily_general_discussion_december_31_2017
0.180872727,0.048073593,0.847835498,0.104082251,daily_general_discussion_december_3_2017
0.192237443,0.050920091,0.824707763,0.12436758,daily_general_discussion_december_4_2017
0.155919769,0.059439868,0.808840198,0.126771005,daily_general_discussion_december_6_2017
0.163492857,0.053811847,0.824630662,0.121567944,daily_general_discussion_december_7_2017
0.208241667,0.041945238,0.841421429,0.116647619,daily_general_discussion_december_8_2017
0.220379452,0.048230594,0.809440639,0.142328767,daily_general_discussion_december_9_2017
0.059896308,0.07992749,0.799179548,0.11849668,daily_general_discussion_february_2_2018
0.094977957,0.069398181,0.806926522,0.120881735,daily_general_discussion_february_3_2018
0.06829583,0.079247952,0.799594192,0.120407297,daily_general_discussion_february_4_2018
0.049921357,0.090539309,0.792699549,0.116515023,daily_general_discussion_february_5_2018
