Compounds,Neg,Neu,Pos
0.4528,0.137,0.582,0.281
0.4926,0,0.556,0.444
0.6174,0.134,0.576,0.29
0.2732,0,0.488,0.512
0.4404,0,0.408,0.592
0,0,1,0
0,0,1,0
-0.4902,0.389,0.611,0
0.8555,0,0.299,0.701
0.3612,0,0.815,0.185
0,0,1,0
0.4404,0,0.508,0.492
0.5644,0.031,0.885,0.083
-0.7887,0.161,0.728,0.111
0.4767,0,0.78,0.22
0.1511,0.153,0.652,0.195
0.7263,0,0.681,0.319
0.3736,0.121,0.698,0.181
0.6908,0,0.513,0.487
0.9558,0.024,0.723,0.254
0.4738,0,0.917,0.083
0.2263,0,0.84,0.16
0,0,1,0
-0.3412,0.147,0.853,0
-0.7964,0.372,0.628,0
0.2732,0,0.792,0.208
0,0,1,0
-0.0258,0.03,0.942,0.029
-0.6486,0.323,0.677,0
0.4199,0,0.798,0.202
-0.7579,0.565,0.435,0
0.6588,0,0.82,0.18
0,0,1,0
-0.8619,0.256,0.744,0
-0.2732,0.189,0.811,0
-0.6808,0.058,0.942,0
0.2732,0,0.884,0.116
0.6369,0,0.625,0.375
-0.3818,0.136,0.808,0.056
-0.4404,0.322,0.49,0.189
0.7579,0,0.764,0.236
0,0,1,0
0,0,1,0
-0.5267,0.386,0.614,0
0.4939,0,0.789,0.211
0.5423,0,0.69,0.31
-0.0346,0.074,0.858,0.068
0.3167,0.135,0.698,0.167
-0.25,0.191,0.674,0.135
-0.3786,0.177,0.823,0
0.8313,0,0.74,0.26
0.7351,0,0.721,0.279
0.3182,0,0.839,0.161
0,0,1,0
0.3612,0,0.8,0.2
0,0,1,0
-0.296,0.177,0.707,0.116
0.5719,0,0.844,0.156
0.5859,0,0.513,0.487
0.9527,0.018,0.754,0.228
0,0,1,0
0.0516,0.08,0.833,0.087
0,0,1,0
0.3182,0.094,0.774,0.132
0.7545,0.067,0.822,0.111
-0.5499,0.083,0.855,0.062
-0.1593,0.127,0.736,0.138
-0.5904,0.434,0.566,0
0.8122,0,0.724,0.276
0,0,1,0
0,0,1,0
0.3612,0,0.762,0.238
0.5859,0,0.759,0.241
0.8398,0,0.8,0.2
0,0,1,0
0.4215,0,0.741,0.259
0.4149,0.212,0.413,0.375
0,0,1,0
0.3612,0,0.878,0.122
0.4939,0,0.802,0.198
-0.4767,0.147,0.853,0
0.9856,0.128,0.66,0.211
-0.3612,0.294,0.706,0
-0.0772,0.272,0.494,0.235
-0.5423,0.137,0.863,0
-0.0258,0.166,0.674,0.161
-0.1761,0.195,0.805,0
0.8176,0,0.32,0.68
0.8806,0.043,0.642,0.315
