Compounds,Neg,Neu,Pos
-0.4215,0.203,0.797,0
0,0,1,0
0,0,1,0
0.3182,0,0.723,0.277
-0.6523,0.178,0.822,0
0,0,1,0
0.4201,0,0.887,0.113
0.1263,0.17,0.629,0.201
-0.6808,0.196,0.804,0
0.4404,0,0.408,0.592
0.5423,0,0.774,0.226
0,0,1,0
0.09,0,0.967,0.033
0.6599,0,0.671,0.329
0.6369,0,0.625,0.375
-0.1027,0.259,0.741,0
0.5868,0.099,0.728,0.173
0,0,1,0
0.5267,0,0.812,0.188
0.319,0.117,0.754,0.129
-0.7968,0.137,0.825,0.038
0,0,1,0
0.6597,0,0.759,0.241
0.4075,0.086,0.753,0.162
0,0,1,0
0.8827,0,0.393,0.607
0.5848,0,0.649,0.351
0.0364,0.172,0.704,0.124
0,0,1,0
0.7251,0,0.679,0.321
-0.2183,0.21,0.79,0
0,0,1,0
0,0,1,0
0.7096,0,0.576,0.424
0.7717,0,0.717,0.283
0,0,1,0
0.7351,0,0.677,0.323
-0.7469,0.209,0.791,0
0,0,1,0
-0.296,0.121,0.879,0
-0.9105,0.2,0.731,0.068
0.6369,0,0.829,0.171
0,0,1,0
-0.3804,0.245,0.755,0
-0.4404,0.237,0.662,0.101
0,0,1,0
-0.5848,0.387,0.613,0
0.3612,0,0.839,0.161
0,0.09,0.82,0.09
0.0516,0.111,0.769,0.12
0,0,1,0
-0.0772,0.242,0.604,0.154
-0.3384,0.285,0.715,0
0.9217,0,0.572,0.428
0.2732,0.092,0.779,0.129
0.4019,0,0.526,0.474
0.9694,0.029,0.651,0.32
0,0,1,0
0,0,1,0
0,0,1,0
0.4215,0,0.823,0.177
-0.7391,0.285,0.607,0.108
0.4184,0,0.878,0.122
0.7269,0,0.693,0.307
0,0,1,0
0,0,1,0
0.6124,0,0.765,0.235
0.7579,0,0.789,0.211
0,0,1,0
0,0,1,0
0,0,1,0
0.8176,0,0.571,0.429
0.6523,0,0.48,0.52
0.3818,0,0.658,0.342
-0.6808,0.223,0.777,0
0,0,1,0
-0.3182,0.223,0.777,0
0.636,0,0.634,0.366
0,0,1,0
0.5994,0,0.435,0.565
0.5812,0.054,0.852,0.093
0.4404,0,0.707,0.293
0.4215,0,0.417,0.583
0.5994,0,0.755,0.245
0,0,1,0
0.6012,0,0.55,0.45
0.3081,0.102,0.758,0.139
0.2732,0,0.942,0.058
-0.6223,0.123,0.795,0.082
-0.5423,0.304,0.696,0
0.3384,0.085,0.78,0.135
0.3818,0,0.843,0.157
0.875,0,0.565,0.435
0,0,1,0
-0.8479,0.276,0.617,0.107
0.4404,0,0.791,0.209
0,0,1,0
-0.4019,0.252,0.748,0
0.0423,0.047,0.904,0.049
0.4067,0.092,0.727,0.182
0.6124,0,0.737,0.263
-0.8957,0.32,0.68,0
0.8722,0.039,0.746,0.216
0,0,1,0
0.8658,0.023,0.804,0.173
0.7964,0,0.793,0.207
-0.2023,0.343,0.392,0.265
-0.2263,0.035,0.965,0
-0.3182,0.434,0.566,0
0.6979,0,0.689,0.311
0,0,1,0
0.3612,0,0.915,0.085
0.296,0,0.932,0.068
0.3818,0.2,0.455,0.345
0.6239,0,0.494,0.506
0.5574,0,0.217,0.783
0.2732,0,0.84,0.16
0,0,1,0
0.2086,0.191,0.652,0.157
0.4939,0,0.881,0.119
0,0,1,0
0,0,1,0
0.7783,0,0.408,0.592
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0.5994,0,0.562,0.438
0.4389,0,0.58,0.42
0.5574,0.129,0.571,0.3
0.34,0.203,0.405,0.392
-0.6808,0.338,0.662,0
-0.296,0.423,0.577,0
0.4019,0.1,0.724,0.176
-0.802,0.706,0.294,0
0.8353,0,0.441,0.559
0,0,1,0
0.3034,0.276,0.35,0.374
0,0,1,0
0,0,1,0
0.7772,0,0.757,0.243
0.9098,0,0.725,0.275
0.4215,0,0.682,0.318
0,0,1,0
0.4404,0,0.508,0.492
0.5017,0.053,0.788,0.159
0.4767,0.111,0.717,0.171
-0.296,0.104,0.896,0
0.6979,0.037,0.832,0.131
0.6892,0,0.681,0.319
0.8331,0,0.203,0.797
0.5574,0,0.765,0.235
0,0,1,0
0,0,1,0
0.8176,0,0.727,0.273
0,0,1,0
0.5859,0.147,0.526,0.327
0.4215,0,0.763,0.237
-0.2411,0.103,0.897,0
0.2263,0.039,0.906,0.055
0,0,1,0
0,0,1,0
0,0,1,0
-0.3802,0.191,0.809,0
0.9274,0,0.687,0.313
0.807,0,0.658,0.342
0.2787,0.061,0.832,0.107
0.9552,0.033,0.749,0.218
0.802,0,0.829,0.171
0,0,1,0
0.296,0.191,0.488,0.321
0,0,1,0
-0.34,0.146,0.854,0
0.8398,0.033,0.861,0.107
0,0,1,0
-0.6229,0.185,0.815,0
0.5106,0,0.798,0.202
0.9595,0,0.511,0.489
0.3818,0,0.885,0.115
0.9053,0,0.71,0.29
0.3612,0,0.898,0.102
0.8216,0.132,0.604,0.263
0,0,1,0
-0.9724,0.201,0.728,0.072
0,0,1,0
0.6124,0,0.848,0.152
0,0,1,0
0.7579,0,0.435,0.565
0.4588,0,0.571,0.429
0.5859,0,0.73,0.27
0.6597,0,0.426,0.574
0.296,0,0.932,0.068
0.3182,0,0.867,0.133
0.9876,0.076,0.797,0.127
0,0,1,0
0,0,1,0
0.5473,0,0.459,0.541
0,0,1,0
0.6588,0,0.313,0.687
0,0,1,0
0.4404,0,0.775,0.225
0.6597,0,0.357,0.643
0,0,1,0
0.9354,0.057,0.402,0.541
0.8221,0,0.397,0.603
0,0,1,0
0.8934,0,0.584,0.416
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0.3818,0,0.606,0.394
0,0,1,0
0,0,1,0
0.4215,0,0.263,0.737
0,0,1,0
0.4215,0,0.714,0.286
-0.1851,0.206,0.603,0.191
0.5106,0,0.602,0.398
0.5707,0,0.802,0.198
0,0,1,0
0,0,1,0
0.7531,0,0.713,0.287
0.4404,0,0.508,0.492
0,0,1,0
0,0,1,0
-0.296,0.239,0.761,0
-0.7906,0.222,0.69,0.088
0,0,1,0
-0.1531,0.286,0.476,0.238
0.5719,0.084,0.667,0.249
0,0,1,0
0.7461,0,0.781,0.219
0.3597,0.112,0.642,0.246
0,0,1,0
0,0,1,0
0.5106,0,0.791,0.209
0.891,0,0.58,0.42
-0.34,0.167,0.833,0
-0.5859,0.202,0.798,0
-0.4023,0.213,0.787,0
0.9117,0,0.389,0.611
0,0,1,0
-0.4585,0.191,0.706,0.103
0,0,1,0
-0.5423,0.115,0.832,0.053
0,0,1,0
0,0,1,0
0,0,1,0
0.7627,0,0.907,0.093
-0.128,0.147,0.751,0.102
0.4939,0,0.652,0.348
0.3939,0,0.83,0.17
0.4871,0.056,0.839,0.104
-0.34,0.138,0.862,0
0.7777,0,0.435,0.565
0,0,1,0
-0.4588,0.313,0.467,0.22
0,0,1,0
0,0,1,0
-0.5719,0.787,0.213,0
-0.8977,0.479,0.521,0
0.857,0.06,0.764,0.176
0.4567,0,0.8,0.2
0.6597,0,0.856,0.144
0.7429,0.063,0.823,0.115
-0.6167,0.212,0.653,0.135
0.6369,0.074,0.737,0.19
-0.2263,0.232,0.632,0.137
0.5859,0,0.882,0.118
-0.6486,0.301,0.699,0
-0.4767,0.341,0.659,0
-0.7003,0.307,0.552,0.141
0,0,1,0
-0.5267,0.221,0.779,0
0.7531,0.047,0.747,0.206
0.0772,0,0.86,0.14
0.7351,0.039,0.773,0.188
0.2023,0,0.795,0.205
0,0,1,0
-0.5256,0.139,0.861,0
-0.7096,0.663,0.337,0
-0.4767,0.171,0.829,0
0,0,1,0
0,0,1,0
0,0,1,0
0.6597,0,0.707,0.293
0,0,1,0
-0.5574,0.545,0.455,0
0.4939,0.038,0.865,0.097
0.5473,0,0.786,0.214
0.6652,0,0.801,0.199
0.5994,0,0.62,0.38
-0.0516,0.241,0.536,0.223
0.25,0.141,0.692,0.167
0,0,1,0
-0.431,0.241,0.759,0
0,0,1,0
0,0,1,0
0.6093,0,0.557,0.443
-0.629,0.197,0.731,0.072
-0.8405,0.17,0.83,0
-0.7603,0.483,0.517,0
0,0,1,0
-0.2732,0.231,0.769,0
0,0,1,0
0.3182,0,0.777,0.223
0,0,1,0
0.2732,0,0.488,0.512
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0.2732,0,0.769,0.231
0,0,1,0
0.5574,0,0.526,0.474
0.4069,0.11,0.743,0.147
-0.4389,0.42,0.58,0
0.0516,0.131,0.728,0.141
0.6652,0,0.793,0.207
0,0,1,0
0.3182,0,0.635,0.365
-0.0772,0.162,0.707,0.131
0,0,1,0
-0.4767,0.508,0.492,0
0.4215,0,0.843,0.157
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
-0.5423,0.212,0.788,0
0,0,1,0
0,0,1,0
0.6239,0,0.494,0.506
0.4215,0,0.741,0.259
-0.631,0.16,0.84,0
0.1185,0.058,0.892,0.05
0,0,1,0
0,0,1,0
0,0,1,0
0.3182,0,0.874,0.126
-0.8238,0.353,0.647,0
0.4404,0,0.838,0.162
-0.1549,0.182,0.702,0.116
0.4939,0,0.714,0.286
0.4215,0,0.843,0.157
0.25,0,0.857,0.143
0.2235,0,0.854,0.146
0.5423,0,0.667,0.333
0.0173,0.106,0.748,0.146
0.3612,0,0.839,0.161
0,0,1,0
0.4389,0.097,0.688,0.214
-0.802,0.247,0.753,0
0.7303,0.083,0.781,0.135
-0.0498,0.18,0.647,0.173
-0.1027,0.177,0.671,0.152
-0.4767,0.437,0.563,0
-0.2903,0.154,0.76,0.086
0.5505,0,0.755,0.245
-0.2905,0.165,0.835,0
0,0,1,0
0.5951,0,0.508,0.492
-0.508,0.272,0.576,0.152
-0.4019,0.31,0.69,0
0.4574,0,0.824,0.176
-0.5983,0.245,0.755,0
0,0,1,0
0,0,1,0
-0.9008,0.522,0.478,0
0.1531,0.085,0.809,0.107
-0.4359,0.054,0.92,0.025
0.7506,0,0.758,0.242
0,0,1,0
-0.7964,0.363,0.637,0
-0.959,0.164,0.783,0.053
0,0,1,0
0.6908,0,0.778,0.222
-0.3707,0.086,0.849,0.065
0.3612,0.058,0.853,0.09
-0.2732,0.076,0.87,0.053
-0.0094,0.188,0.627,0.185
0,0,1,0
-0.4019,0.278,0.722,0
0,0,1,0
-0.4404,0.266,0.734,0
-0.6298,0.095,0.905,0
-0.4215,0.259,0.741,0
-0.9062,0.465,0.535,0
0.3818,0,0.847,0.153
0.5563,0,0.358,0.642
0.743,0,0.588,0.412
0.2732,0,0.588,0.412
0.7564,0,0.649,0.351
0,0,1,0
-0.4404,0.367,0.633,0
0,0,1,0
0,0,1,0
0,0,1,0
-0.5106,0.623,0.377,0
0.134,0.117,0.756,0.128
0.3923,0.12,0.723,0.157
0.7105,0.063,0.796,0.141
0.3476,0.048,0.896,0.056
0.4404,0,0.633,0.367
0.2006,0.157,0.625,0.219
0,0,1,0
0.3045,0.167,0.599,0.234
0,0,1,0
-0.8693,0.37,0.63,0
0.658,0,0.851,0.149
-0.4215,0.258,0.625,0.117
-0.1139,0.067,0.933,0
-0.3875,0.168,0.832,0
0.4019,0,0.838,0.162
0,0,1,0
0,0,1,0
0.2023,0.144,0.67,0.186
0.555,0,0.817,0.183
0,0,1,0
-0.3182,0.173,0.827,0
-0.6124,0.167,0.833,0
-0.34,0.162,0.741,0.097
0.6597,0,0.357,0.643
-0.5267,0.327,0.673,0
-0.629,0.197,0.731,0.072
0,0,1,0
-0.2732,0.143,0.757,0.1
0.3182,0,0.635,0.365
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0.743,0,0.588,0.412
0,0,1,0
0.5559,0,0.723,0.277
0.3089,0,0.923,0.077
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
-0.4118,0.183,0.741,0.076
0,0,1,0
0.8055,0,0.743,0.257
0.6588,0,0.812,0.188
0,0,1,0
0.6757,0,0.86,0.14
0.0772,0,0.915,0.085
0.7572,0,0.732,0.268
0.5777,0,0.728,0.272
-0.7184,0.462,0.538,0
0,0,1,0
0.2732,0,0.656,0.344
-0.5574,0.098,0.902,0
0.128,0,0.909,0.091
-0.2057,0.083,0.917,0
0,0,1,0
-0.5461,0.148,0.852,0
0,0,1,0
0.2462,0.292,0.334,0.374
0.8789,0.019,0.837,0.144
0.8364,0,0.823,0.177
0.25,0.12,0.707,0.174
0,0,1,0
0.359,0.252,0.472,0.276
0.8491,0,0.698,0.302
0,0,1,0
0.2263,0,0.787,0.213
-0.4404,0.153,0.847,0
0.6705,0.095,0.668,0.237
0.4588,0,0.824,0.176
0,0,1,0
0.6072,0.083,0.683,0.234
-0.5719,0.139,0.861,0
0.34,0,0.876,0.124
-0.4215,0.125,0.764,0.111
0.6876,0,0.414,0.586
0,0,1,0
0.7269,0,0.396,0.604
0.3182,0,0.874,0.126
-0.4939,0.167,0.833,0
-0.4767,0.313,0.687,0
0,0,1,0
-0.7506,0.348,0.652,0
0,0,1,0
0.0772,0.17,0.638,0.191
0.1837,0.13,0.702,0.169
0,0,1,0
-0.6808,0.173,0.827,0
0.5106,0,0.82,0.18
0,0,1,0
0.0772,0,0.929,0.071
0.4939,0,0.873,0.127
-0.6486,0.153,0.773,0.074
0.0516,0,0.972,0.028
-0.2253,0.124,0.81,0.066
0.4767,0.095,0.696,0.209
0,0,1,0
-0.4019,0.184,0.816,0
-0.5709,0.178,0.822,0
-0.7052,0.253,0.664,0.084
0,0,1,0
0.5719,0,0.515,0.485
0.6825,0,0.684,0.316
-0.6486,0.07,0.911,0.018
-0.644,0.208,0.713,0.079
0.3612,0,0.8,0.2
0.4329,0,0.901,0.099
-0.2481,0.122,0.734,0.143
-0.3875,0.18,0.82,0
-0.046,0.225,0.553,0.221
0.9374,0.058,0.692,0.25
0.659,0,0.884,0.116
0,0,1,0
0.5106,0,0.619,0.381
0.1531,0.081,0.815,0.104
0,0,1,0
0,0,1,0
0.5473,0,0.531,0.469
0,0,1,0
0,0,1,0
0,0,1,0
0.4574,0,0.875,0.125
0,0,1,0
0,0,1,0
0.5267,0,0.841,0.159
0,0,1,0
0.1298,0.118,0.746,0.136
0,0,1,0
0.852,0.065,0.796,0.139
-0.1027,0.254,0.526,0.219
0.624,0,0.747,0.253
0,0,1,0
0.8718,0.084,0.473,0.443
0.7717,0,0.749,0.251
0.4404,0,0.914,0.086
0.8807,0,0.588,0.412
0,0,1,0
0.4588,0,0.667,0.333
-0.8271,0.391,0.609,0
0.7227,0.062,0.736,0.202
-0.0138,0.151,0.728,0.121
0.2116,0.092,0.787,0.121
0.6675,0.048,0.869,0.083
0.6239,0,0.761,0.239
0.5994,0,0.888,0.112
-0.4404,0.221,0.653,0.126
-0.25,0.125,0.875,0
0.6249,0,0.769,0.231
0.7506,0,0.385,0.615
0.7506,0,0.654,0.346
-0.5423,0.226,0.774,0
0,0,1,0
0.5574,0,0.357,0.643
0.7901,0,0.462,0.538
-0.34,0.194,0.806,0
0.4404,0,0.58,0.42
-0.1531,0.417,0.238,0.345
0.5719,0,0.448,0.552
-0.5719,0.381,0.619,0
0.4199,0,0.872,0.128
0.4088,0.071,0.808,0.121
0.3612,0,0.839,0.161
0.3612,0,0.815,0.185
0.4927,0,0.653,0.347
-0.1027,0.113,0.887,0
-0.415,0.201,0.799,0
0.7003,0,0.826,0.174
0.2732,0,0.851,0.149
0.5473,0,0.694,0.306
0.34,0,0.769,0.231
-0.4019,0.13,0.803,0.068
0,0,1,0
0,0,1,0
0,0,1,0
0.7579,0,0.381,0.619
0.5994,0,0.204,0.796
0,0,1,0
0.6394,0,0.754,0.246
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0.5994,0,0.562,0.438
0,0,1,0
0,0,1,0
-0.2023,0.265,0.735,0
0.2732,0,0.792,0.208
0,0,1,0
-0.6696,0.191,0.809,0
-0.2006,0.16,0.648,0.193
0.6841,0,0.393,0.607
-0.0772,0.178,0.822,0
0,0,1,0
0,0,1,0
-0.7647,0.383,0.617,0
-0.6696,0.211,0.639,0.15
0,0,1,0
0.6369,0,0.417,0.583
0,0,1,0
-0.1027,0.104,0.811,0.086
0.3612,0,0.857,0.143
0.5994,0,0.38,0.62
-0.3818,0.302,0.698,0
0,0,1,0
0.5684,0,0.449,0.551
0,0,1,0
0,0,1,0
0,0,1,0
0.5707,0,0.516,0.484
0.5719,0,0.519,0.481
0.3818,0,0.89,0.11
0.6757,0,0.783,0.217
0,0,1,0
0,0,1,0
0.3365,0.082,0.763,0.155
0,0,1,0
0.6808,0,0.349,0.651
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0.1531,0,0.789,0.211
0,0,1,0
0,0,1,0
0.34,0.177,0.538,0.285
0.4769,0,0.846,0.154
0.775,0.047,0.729,0.224
0,0,1,0
0.3818,0,0.658,0.342
0.6124,0.107,0.579,0.314
0.6371,0.125,0.595,0.28
-0.4215,0.583,0.417,0
0,0,1,0
0.6249,0,0.745,0.255
-0.4497,0.228,0.772,0
-0.7003,0.156,0.741,0.103
0.8015,0.046,0.723,0.231
-0.765,0.623,0.377,0
0,0,1,0
0,0,1,0
0.4588,0,0.625,0.375
0.1779,0.099,0.773,0.129
0,0,1,0
0.5093,0,0.549,0.451
0.4019,0,0.828,0.172
0,0,1,0
0,0,1,0
0.3612,0,0.667,0.333
0.6697,0.055,0.685,0.26
0,0,1,0
0,0,1,0
0.5913,0.087,0.75,0.163
0,0,1,0
0.9165,0,0.801,0.199
0,0,1,0
0.7021,0.074,0.688,0.238
0.2103,0.042,0.9,0.058
0.3996,0.103,0.771,0.125
0.6163,0.111,0.701,0.189
0,0,1,0
-0.5197,0.134,0.773,0.093
0,0,1,0
0.7205,0.059,0.856,0.086
0.4404,0,0.854,0.146
0.9483,0,0.477,0.523
-0.4939,0.21,0.699,0.092
0.7241,0,0.852,0.148
-0.3182,0.161,0.839,0
0,0,1,0
0.296,0.11,0.714,0.176
-0.2732,0.344,0.656,0
0.6249,0,0.683,0.317
0.2263,0,0.917,0.083
0.504,0,0.831,0.169
-0.6705,0.407,0.593,0
0,0,1,0
0,0,1,0
-0.0516,0.2,0.636,0.164
0,0,1,0
0,0,1,0
-0.8685,0.494,0.506,0
-0.5423,0.259,0.741,0
0.2509,0.037,0.896,0.066
-0.1779,0.09,0.832,0.078
0.5859,0,0.78,0.22
0.6621,0,0.596,0.404
0.0258,0.145,0.707,0.148
-0.4404,0.293,0.707,0
0,0,1,0
0,0,1,0
0,0,1,0
0.6997,0.032,0.846,0.121
-0.3412,0.211,0.789,0
-0.743,0.152,0.769,0.079
0,0,1,0
0.9492,0,0.765,0.235
0,0,1,0
-0.5106,0.623,0.377,0
0.836,0.012,0.888,0.1
0.5514,0,0.907,0.093
-0.6486,0.155,0.845,0
0.3182,0,0.892,0.108
-0.9159,0.363,0.595,0.042
0.5106,0.106,0.628,0.266
0.3818,0,0.658,0.342
-0.4939,0.204,0.741,0.056
0.7906,0.056,0.806,0.138
0,0,1,0
0.1027,0.117,0.691,0.191
-0.128,0.073,0.927,0
0,0,1,0
0.2023,0,0.847,0.153
0,0,1,0
-0.2809,0.147,0.755,0.098
0.6369,0,0.698,0.302
0,0,1,0
0.8557,0.039,0.797,0.164
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
-0.6571,0.467,0.533,0
0,0,1,0
0.5478,0,0.688,0.312
0,0,1,0
-0.6218,0.279,0.557,0.164
0,0,1,0
0.4588,0,0.5,0.5
-0.0772,0.071,0.87,0.059
-0.7672,0.223,0.717,0.059
0.5859,0,0.593,0.407
0.8074,0,0.726,0.274
-0.3905,0.267,0.733,0
0.128,0.153,0.657,0.19
0.6565,0.041,0.801,0.158
0.4545,0,0.814,0.186
0.0258,0.233,0.582,0.185
-0.3182,0.247,0.753,0
-0.6908,0.533,0.467,0
0.3182,0,0.916,0.084
0.7666,0.073,0.6,0.327
0.4515,0,0.791,0.209
0.2732,0,0.851,0.149
0.8647,0,0.509,0.491
-0.7351,0.199,0.723,0.078
0,0,1,0
-0.6662,0.17,0.773,0.056
-0.3818,0.279,0.579,0.142
-0.7269,0.204,0.749,0.047
0.5574,0,0.217,0.783
0.3645,0.102,0.681,0.216
-0.4215,0.059,0.918,0.022
-0.5848,0.489,0.511,0
-0.1531,0.444,0.556,0
0.4261,0.183,0.55,0.267
0.4871,0.094,0.751,0.155
-0.5267,0.405,0.595,0
0.3182,0,0.892,0.108
0.5859,0,0.725,0.275
0,0,1,0
0,0,1,0
-0.296,0.239,0.761,0
0,0,1,0
-0.0516,0.085,0.915,0
0.4215,0,0.797,0.203
0.6494,0.069,0.713,0.219
0.5719,0,0.598,0.402
0,0,1,0
-0.743,0.378,0.622,0
0,0,1,0
0,0,1,0
0.0258,0,0.932,0.068
0.4696,0,0.809,0.191
-0.6403,0.188,0.715,0.097
0.4404,0,0.847,0.153
0.3612,0,0.706,0.294
0.4404,0.035,0.882,0.083
0,0,1,0
0,0,1,0
0.8504,0,0.584,0.416
0.6249,0,0.805,0.195
0.4019,0,0.821,0.179
-0.5423,0.412,0.588,0
-0.2732,0.16,0.84,0
0.4184,0,0.872,0.128
0,0,1,0
-0.8979,0.302,0.656,0.042
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
-0.4019,0.213,0.787,0
0.34,0.063,0.833,0.103
-0.4215,0.167,0.833,0
-0.7783,0.468,0.532,0
0.4767,0,0.693,0.307
0,0,1,0
0.6124,0,0.583,0.417
0,0,1,0
0.0772,0,0.698,0.302
0.8138,0,0.643,0.357
-0.1531,0.211,0.789,0
0,0,1,0
0.8034,0,0.122,0.878
0,0,1,0
-0.3595,0.555,0.445,0
0.2695,0.215,0.468,0.317
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0.4329,0.04,0.866,0.094
0,0,1,0
0.4215,0,0.682,0.318
0,0,1,0
-0.1531,0.282,0.484,0.234
0.4215,0,0.682,0.318
0.5574,0,0.603,0.397
-0.4389,0.591,0.409,0
-0.7096,0.496,0.504,0
-0.7351,0.756,0.244,0
0,0,1,0
0.6083,0,0.502,0.498
0,0,1,0
0,0,1,0
0,0,1,0
-0.6249,0.804,0.196,0
0.25,0,0.8,0.2
-0.4754,0.34,0.66,0
0.3715,0,0.9,0.1
0,0,1,0
0,0,1,0
-0.128,0.08,0.828,0.092
0.128,0.29,0.374,0.336
0,0,1,0
0,0,1,0
-0.3597,0.294,0.706,0
0,0,1,0
0,0,1,0
0.0772,0,0.952,0.048
0,0,1,0
0.5053,0,0.55,0.45
0.4084,0,0.647,0.353
-0.1027,0.085,0.915,0
0.4404,0,0.756,0.244
0,0,1,0
0,0,1,0
0,0,1,0
0.858,0,0.642,0.358
0.2023,0.185,0.556,0.259
0.3182,0.098,0.755,0.147
-0.5719,0.252,0.748,0
-0.5423,0.226,0.774,0
-0.3595,0.454,0.546,0
0.128,0.139,0.694,0.168
0,0,1,0
0,0,1,0
0.3161,0.05,0.883,0.067
-0.6322,0.138,0.862,0
0.5574,0,0.874,0.126
-0.5514,0.115,0.85,0.035
0.7964,0,0.785,0.215
0,0,1,0
-0.2006,0.209,0.62,0.171
0.8122,0,0.638,0.362
0.3612,0,0.815,0.185
0,0,1,0
0,0,1,0
0,0,1,0
0.4019,0,0.426,0.574
0,0,1,0
0,0,1,0
-0.296,0.084,0.871,0.045
-0.7076,0.266,0.639,0.095
0,0,1,0
-0.3802,0.722,0.278,0
-0.2732,0.161,0.732,0.107
0,0,1,0
0,0,1,0
-0.5423,0.467,0.533,0
-0.104,0.045,0.922,0.033
0.636,0.123,0.527,0.351
-0.7579,0.237,0.703,0.061
0.3612,0,0.615,0.385
0,0,1,0
0.8364,0,0.797,0.203
0.1027,0,0.811,0.189
-0.7906,0.318,0.682,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
-0.296,0.121,0.879,0
0,0,1,0
-0.3818,0.224,0.776,0
0,0,1,0
0,0,1,0
0.2023,0,0.913,0.087
-0.0772,0.089,0.85,0.06
0.4215,0.071,0.785,0.144
-0.743,0.58,0.28,0.14
0.4577,0.087,0.688,0.225
-0.0258,0.217,0.629,0.154
-0.018,0.074,0.827,0.099
-0.9953,0.412,0.588,0
-0.8271,0.372,0.526,0.102
0.5574,0.124,0.567,0.309
0,0,1,0
-0.34,0.13,0.87,0
0.296,0.155,0.583,0.262
-0.5423,0.412,0.588,0
0.3182,0,0.685,0.315
-0.6486,0.35,0.65,0
-0.3919,0.172,0.699,0.129
0.6908,0,0.26,0.74
0,0,1,0
-0.6289,0.315,0.685,0
-0.0685,0.098,0.763,0.138
0,0,1,0
0.4404,0,0.884,0.116
0.4926,0.08,0.729,0.191
0,0,1,0
0,0,1,0
-0.7506,0.135,0.865,0
-0.4767,0.383,0.617,0
0,0,1,0
-0.3612,0.556,0.444,0
0,0,1,0
0,0,1,0
0,0,1,0
0.3956,0,0.871,0.129
0.636,0,0.161,0.839
0.8072,0,0.781,0.219
0.6908,0,0.678,0.322
-0.6951,0.158,0.788,0.053
-0.7717,0.309,0.691,0
0.4215,0,0.882,0.118
