,Compounds,Neg,Neu,Pos,Date
66,0.18859625,0.0606625,0.8360125,0.1033,daily_general_discussion_november_11_2017
67,0.197596296,0.055024691,0.840160494,0.104765432,daily_general_discussion_november_12_2017
68,0.239621951,0.04647561,0.840195122,0.113304878,daily_general_discussion_november_13_2017
69,0.179869792,0.038770833,0.866020833,0.095229167,daily_general_discussion_november_14_2017
70,0.158989041,0.05069863,0.85090411,0.098369863,daily_general_discussion_november_15_2017
71,0.185239831,0.061932203,0.836805085,0.101228814,daily_general_discussion_november_16_2017
72,0.1508875,0.072708333,0.827236111,0.100027778,daily_general_discussion_november_17_2017
73,0.259813235,0.035720588,0.863367647,0.100897059,daily_general_discussion_november_18_2017
74,0.155295798,0.049336134,0.838647059,0.112042017,daily_general_discussion_november_19_2017
75,0.140911009,0.04859633,0.873412844,0.078027523,daily_general_discussion_november_1_2017
76,0.12429521,0.062053892,0.834688623,0.103263473,daily_general_discussion_november_20_2017
77,0.140072727,0.059015152,0.841598485,0.099393939,daily_general_discussion_november_21_2017
78,0.263542276,0.033073171,0.855634146,0.111325203,daily_general_discussion_november_22_2017
79,0.191439024,0.053585366,0.852813008,0.093609756,daily_general_discussion_november_23_2017
80,0.263592857,0.043116071,0.819098214,0.137821429,daily_general_discussion_november_24_2017
81,0.211279091,0.043290909,0.842827273,0.113863636,daily_general_discussion_november_25_2017
82,0.171470079,0.036519685,0.876362205,0.087086614,daily_general_discussion_november_26_2017
83,0.32298303,0.039533333,0.834884848,0.125575758,daily_general_discussion_november_27_2017
84,0.187400498,0.059467662,0.846542289,0.09399005,daily_general_discussion_november_28_2017
85,0.115038551,0.066336232,0.834907246,0.098747826,daily_general_discussion_november_29_2017
86,0.146208824,0.046509804,0.853186275,0.100303922,daily_general_discussion_november_2_2017
87,0.210092857,0.048952381,0.840442857,0.110614286,daily_general_discussion_november_30_2017
88,0.147462821,0.061884615,0.837884615,0.10025641,daily_general_discussion_november_3_2017
89,0.210191667,0.046916667,0.8399375,0.113125,daily_general_discussion_november_4_2017
90,0.281102222,0.031422222,0.860511111,0.108044444,daily_general_discussion_november_5_2017
91,0.256397101,0.032057971,0.873318841,0.094637681,daily_general_discussion_november_6_2017
92,0.202163768,0.042057971,0.876492754,0.081434783,daily_general_discussion_november_7_2017
93,0.071275397,0.070150794,0.837896825,0.091960317,daily_general_discussion_november_8_2017
94,0.170335922,0.055864078,0.852728155,0.091407767,daily_general_discussion_november_9_2017
95,0.292551429,0.031457143,0.851257143,0.117314286,daily_general_discussion_october_10_2017
96,0.36109,0.0433,0.8451,0.111675,daily_general_discussion_october_11_2017
97,0.020543103,0.068,0.86012069,0.07187931,daily_general_discussion_october_12_2017
