Compounds,Neg,Neu,Pos
-0.4019,0.403,0.597,0
-0.4098,0.477,0.523,0
0.4666,0.103,0.653,0.245
0.3612,0,0.615,0.385
0.4588,0,0.5,0.5
-0.4588,0.312,0.484,0.204
-0.6597,0.241,0.759,0
0.7566,0.074,0.733,0.192
-0.8126,0.881,0.119,0
0.5868,0,0.51,0.49
0,0,1,0
0.5859,0,0.612,0.388
0,0,1,0
-0.2263,0.373,0.361,0.265
0,0,1,0
0,0,1,0
0.9604,0.039,0.631,0.33
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
-0.5362,0.217,0.684,0.099
-0.296,0.458,0.208,0.333
0.4277,0,0.739,0.261
0,0,1,0
0.4404,0,0,1
0,0,1,0
0.4404,0,0.58,0.42
0.7251,0,0.535,0.465
0,0,1,0
0.7731,0.024,0.838,0.138
0.128,0,0.933,0.067
0.296,0.118,0.699,0.183
0,0,1,0
-0.5719,0.123,0.788,0.089
0,0,1,0
0,0,1,0
-0.4927,0.444,0.556,0
0.296,0.156,0.556,0.289
0.8122,0,0.486,0.514
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0.4939,0.136,0.5,0.364
0,0,1,0
0.296,0,0.784,0.216
-0.5256,0.423,0.577,0
0,0,1,0
-0.5719,0.296,0.591,0.113
0.4753,0,0.781,0.219
0,0,1,0
0,0,1,0
0,0,1,0
-0.5267,0.254,0.746,0
0.4588,0,0.938,0.063
0,0,1,0
-0.3977,0.216,0.692,0.092
0,0,1,0
0,0,1,0
0,0,1,0
-0.3774,0.205,0.795,0
0,0,1,0
-0.296,0.196,0.804,0
0,0,1,0
0,0,1,0
0,0,1,0
0.7359,0.037,0.81,0.154
0.3818,0,0.698,0.302
0.8948,0.116,0.489,0.394
-0.25,0.227,0.625,0.148
0.4588,0,0.7,0.3
0,0,1,0
0,0,1,0
-0.4389,0.224,0.776,0
0,0,1,0
0,0,1,0
0.3773,0.027,0.911,0.062
0,0,1,0
0.3987,0.136,0.65,0.214
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0.8429,0,0.498,0.502
0,0,1,0
0.4588,0,0.4,0.6
0,0,1,0
0,0,1,0
0.4019,0.133,0.476,0.39
-0.4902,0.346,0.654,0
0.2023,0.078,0.815,0.107
0.3595,0,0.737,0.263
-0.91,0.424,0.576,0
-0.296,0.128,0.872,0
0,0,1,0
0.5994,0,0,1
0.7717,0,0.13,0.87
-0.0772,0.394,0.606,0
0.4404,0.124,0.571,0.305
0.2023,0.249,0.484,0.267
-0.7003,0.291,0.656,0.053
0,0,1,0
-0.6705,0.619,0.381,0
-0.0772,1,0,0
-0.3818,0.247,0.753,0
-0.3818,0.233,0.667,0.1
-0.0772,0.394,0.606,0
-0.4215,0.737,0.263,0
0.3612,0.278,0.127,0.595
0,0,1,0
0,0,1,0
0,0,1,0
0.2263,0,0.913,0.087
0.4404,0,0.707,0.293
0,0,1,0
0.8356,0,0.503,0.497
0,0,1,0
0.6915,0.092,0.458,0.451
0.7778,0,0.595,0.405
0.4215,0,0,1
0.7351,0.037,0.819,0.144
0.4168,0,0.783,0.217
0.4091,0,0.719,0.281
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0.227,0.545,0.227
-0.3182,0.187,0.813,0
0,0,1,0
0,0,1,0
-0.5255,0.326,0.674,0
0,0,1,0
-0.4215,0.583,0.417,0
-0.5574,0.545,0.455,0
0,0,1,0
0.1531,0,0.922,0.078
0.7408,0,0.705,0.295
0,0,1,0
0,0,1,0
0,0,1,0
-0.3252,0.135,0.865,0
0,0,1,0
0,0,1,0
0.4215,0,0.417,0.583
0.5719,0.119,0.57,0.311
0,0,1,0
0,0,1,0
-0.8534,0.15,0.834,0.016
0,0,1,0
0.3612,0,0,1
0,0,1,0
0.6059,0.076,0.75,0.174
0.2263,0.114,0.736,0.15
0.8718,0,0.524,0.476
-0.4536,0.221,0.667,0.111
0,0,1,0
0.4019,0,0.803,0.197
0.3182,0,0.883,0.117
0.4753,0,0.829,0.171
0.4215,0,0.682,0.318
0,0,1,0
0,0,1,0
0,0,1,0
-0.2263,0.274,0.531,0.195
0.4767,0.053,0.828,0.119
0,0,1,0
0,0,1,0
0.0258,0.105,0.785,0.11
0.296,0.133,0.667,0.2
0,0,1,0
0,0,1,0
0.0258,0.077,0.844,0.079
0.4767,0,0.661,0.339
0.3182,0,0.796,0.204
-0.3976,0.104,0.896,0
-0.0396,0.032,0.938,0.029
0.4019,0,0,1
-0.8665,0.351,0.649,0
0,0,1,0
0.7076,0,0.823,0.177
-0.2247,0.157,0.733,0.11
-0.0516,0.218,0.577,0.205
0.3818,0,0.809,0.191
0,0,1,0
0.743,0,0.704,0.296
-0.7141,0.537,0.463,0
0.25,0,0.931,0.069
-0.5574,0.34,0.66,0
0.3612,0,0.762,0.238
-0.4588,0.5,0.5,0
0,0,1,0
0.3861,0.038,0.849,0.112
0,0,1,0
0,0,1,0
0.6749,0,0.665,0.335
0.5334,0,0.791,0.209
-0.411,0.12,0.809,0.071
0.0516,0.312,0.29,0.399
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
-0.34,0.375,0.625,0
-0.374,0.227,0.632,0.141
0,0,1,0
0.4215,0,0.859,0.141
0,0,1,0
0.6697,0,0.645,0.355
-0.8126,0.359,0.641,0
0.3089,0,0.689,0.311
0.3089,0,0.689,0.311
0.2023,0,0.816,0.184
0.0772,0,0.435,0.565
0,0,1,0
0,0,1,0
0.6696,0,0.182,0.818
-0.1613,0.282,0.498,0.219
0.5859,0,0,1
-0.5574,0.34,0.66,0
0.4215,0,0,1
-0.3818,0.157,0.843,0
0.8891,0.061,0.501,0.438
-0.7236,0.377,0.623,0
0.5859,0,0.208,0.792
0,0,1,0
0.0516,0.205,0.574,0.221
-0.4215,0.432,0.568,0
0,0,1,0
-0.3818,0.133,0.867,0
0.4939,0,0.238,0.762
0,0,1,0
-0.4767,0.414,0.36,0.225
0,0,1,0
-0.5574,0.247,0.753,0
-0.0772,0.114,0.783,0.103
0.1779,0.242,0.44,0.319
0.8741,0.055,0.79,0.155
0,0,1,0
-0.4767,0.147,0.853,0
-0.4404,0.172,0.828,0
0.5125,0.062,0.821,0.117
0.2732,0.055,0.869,0.077
0.2023,0,0.795,0.205
0,0,1,0
0,0,1,0
0.1386,0.054,0.88,0.067
0.5719,0,0.824,0.176
0,0,1,0
0.1531,0.257,0.441,0.301
0.5574,0,0.625,0.375
0,0,1,0
-0.2732,0.677,0.323,0
0.5574,0.054,0.779,0.167
0,0,1,0
0.2716,0,0.84,0.16
0,0,1,0
0,0,1,0
0.4389,0.055,0.825,0.12
0,0,1,0
0.7003,0,0.608,0.392
0.8582,0,0.818,0.182
-0.3699,0.137,0.863,0
0,0,1,0
0.8211,0,0.556,0.444
-0.634,0.167,0.766,0.067
0.6948,0,0.785,0.215
0,0,1,0
-0.4939,0.149,0.851,0
-0.5859,0.226,0.676,0.098
0.6124,0,0.722,0.278
-0.1779,0.167,0.698,0.135
0.8585,0,0.345,0.655
0,0,1,0
0.9099,0.032,0.746,0.223
-0.3164,0.376,0.403,0.222
0.4588,0,0.4,0.6
0.5481,0.136,0.484,0.38
0.9276,0.038,0.622,0.34
0.7184,0,0.8,0.2
0.4215,0,0.859,0.141
-0.7184,0.231,0.769,0
0.9117,0.028,0.786,0.186
0.1901,0,0.821,0.179
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0.5719,0,0.619,0.381
0,0,1,0
-0.3182,0.697,0.303,0
-0.5563,0.285,0.715,0
0,0,1,0
0.5574,0,0.723,0.277
0.1027,0,0.741,0.259
0.4404,0,0.734,0.266
0.818,0.093,0.779,0.128
-0.0258,0.181,0.643,0.175
0,0,1,0
0.9524,0,0.603,0.397
0,0,1,0
0.6865,0,0.639,0.361
-0.4404,0.178,0.731,0.091
0.6369,0,0.682,0.318
0.4215,0,0,1
0,0,1,0
-0.5267,0.359,0.469,0.172
-0.34,0.231,0.769,0
0,0,1,0
0.0139,0.067,0.879,0.054
0.891,0,0.487,0.513
0,0,1,0
0,0,1,0
0,0,1,0
0.8541,0,0.779,0.221
0.5242,0,0.825,0.175
0.7184,0,0.727,0.273
0,0,1,0
0.4404,0,0.256,0.744
0,0,1,0
0,0,1,0
0,0,1,0
-0.1027,0.082,0.847,0.071
0.836,0,0.777,0.223
0,0,1,0
0.5574,0,0,1
0,0,1,0
0.4939,0.098,0.654,0.248
-0.0085,0.208,0.587,0.205
0.6249,0,0.773,0.227
0.659,0,0.313,0.687
0.4404,0,0.256,0.744
0.9274,0,0.381,0.619
0.818,0.093,0.779,0.128
0.743,0,0.526,0.474
-0.296,0.688,0.313,0
0,0,1,0
0.5983,0,0.643,0.357
0.818,0.093,0.779,0.128
0.3182,0,0.883,0.117
0.2247,0.176,0.549,0.275
0,0,1,0
0,0,1,0
0,0,1,0
-0.34,0.42,0.4,0.18
0,0,1,0
0.4018,0.081,0.775,0.144
0,0,1,0
0.1779,0.098,0.765,0.137
0,0,1,0
0,0,1,0
0,0,1,0
0.624,0,0.719,0.281
0,0,1,0
0.7269,0,0.33,0.67
0.3182,0,0.839,0.161
0,0,1,0
0,0,1,0
-0.5994,0.245,0.755,0
0.368,0,0.908,0.092
0.1901,0.086,0.743,0.171
0,0,1,0
0,0,1,0
0,0,1,0
-0.5423,0.412,0.588,0
0.8111,0,0.733,0.267
0.2732,0.187,0.518,0.295
0.5927,0,0.784,0.216
0.0772,0,0.843,0.157
0.3755,0.176,0.568,0.257
-0.25,0.318,0.455,0.227
0,0,1,0
0,0,1,0
0,0,1,0
0.4215,0,0.417,0.583
0,0,1,0
0.8034,0,0.572,0.428
0,0,1,0
0.1179,0.099,0.783,0.118
0.6124,0,0.556,0.444
0.4019,0,0.649,0.351
0.7644,0,0.476,0.524
0.4767,0,0.328,0.672
0,0,1,0
0.6114,0,0.637,0.363
0,0,1,0
0.296,0,0.833,0.167
0.2263,0.131,0.671,0.198
-0.1531,0.089,0.847,0.065
0,0,1,0
0,0,1,0
0.7177,0,0.334,0.666
0.2023,0.18,0.574,0.246
0.6433,0,0.488,0.512
0,0,1,0
0.8807,0,0.089,0.911
0.7783,0,0.799,0.201
0,0,1,0
0.0772,0,0.933,0.067
0.7104,0,0.73,0.27
0.3907,0.025,0.917,0.057
0,0,1,0
0,0,1,0
0.4215,0,0.682,0.318
0,0,1,0
0,0,1,0
0,0,1,0
-0.1232,0.085,0.915,0
-0.7506,0.416,0.584,0
0,0,1,0
0,0,1,0
-0.0343,0.126,0.754,0.12
0.5499,0,0.827,0.173
-0.3244,0.119,0.81,0.071
0.5574,0.125,0.476,0.399
-0.34,0.112,0.888,0
0,0,1,0
-0.9271,0.202,0.712,0.086
0,0,1,0
0,0,1,0
-0.851,0.391,0.609,0
-0.2263,0.1,0.798,0.103
-0.3182,0.248,0.752,0
0.4588,0,0.625,0.375
0,0.21,0.58,0.21
0.5766,0.241,0.109,0.65
0.3612,0,0.8,0.2
-0.1027,0.323,0.443,0.234
0.5267,0.194,0.139,0.667
0.296,0,0.476,0.524
0.4588,0,0.7,0.3
0,0,1,0
-0.6249,0.152,0.801,0.047
0,0,1,0
0.1511,0,0.557,0.443
0.2144,0,0.907,0.093
0.7579,0,0.737,0.263
0.2263,0,0.913,0.087
0.6573,0,0.844,0.156
0,0,1,0
0.7783,0.054,0.797,0.149
-0.5719,0.787,0.213,0
0.4404,0,0.861,0.139
0.5267,0.121,0.638,0.241
0,0,1,0
0.4404,0,0.633,0.367
0,0,1,0
0,0,1,0
0,0,1,0
-0.5994,0.245,0.755,0
0,0,1,0
0,0,1,0
0.7615,0,0.544,0.456
0.7783,0,0.804,0.196
0.046,0.116,0.764,0.12
-0.3164,0.317,0.465,0.217
0.7269,0,0.697,0.303
0,0,1,0
-0.6705,0.474,0.526,0
-0.1531,0.229,0.593,0.178
-0.5106,0.216,0.784,0
0,0,1,0
0.4404,0,0.9,0.1
0,0,1,0
0.3612,0,0.8,0.2
0.3612,0,0.615,0.385
0,0,1,0
0.3612,0,0.762,0.238
0.0772,0,0.894,0.106
0.7243,0,0.682,0.318
0,0,1,0
0.4939,0,0.882,0.118
0.4215,0,0.741,0.259
0.25,0,0.818,0.182
0,0,1,0
-0.34,0.239,0.761,0
0,0,1,0
0,0,1,0
-0.7269,0.253,0.747,0
0,0,1,0
-0.2274,0.083,0.831,0.086
0.6908,0,0.584,0.416
-0.1935,0.057,0.901,0.042
0,0,1,0
-0.34,0.194,0.806,0
0.5719,0,0.709,0.291
0,0,1,0
0.3182,0,0.723,0.277
0,0,1,0
0,0,1,0
0.8074,0,0.658,0.342
0,0,1,0
0,0,1,0
0,0,1,0
0.4215,0,0.641,0.359
0.7003,0,0.58,0.42
0.4215,0,0,1
0.3612,0.038,0.878,0.084
0,0,1,0
-0.0387,0.054,0.854,0.092
0,0,1,0
0.2732,0,0.741,0.259
0.6454,0.154,0.553,0.293
0.3806,0.074,0.771,0.154
0,0,1,0
-0.5255,0.23,0.675,0.095
0,0,1,0
0,0,1,0
0,0,1,0
0.4019,0,0.526,0.474
0,0,1,0
0,0,1,0
0.2732,0,0.826,0.174
0,0,1,0
0.4767,0.35,0,0.65
0.72,0,0.785,0.215
0,0,1,0
0,0,1,0
0,0,1,0
0.2263,0,0.808,0.192
-0.296,0.196,0.804,0
0,0,1,0
0,0,1,0
0.4404,0,0.408,0.592
0.4588,0,0.571,0.429
0,0,1,0
0,0,1,0
0.0772,0,0.885,0.115
-0.4199,0.411,0.589,0
-0.2263,0.128,0.872,0
-0.0191,0.063,0.937,0
-0.2847,0.074,0.853,0.073
0.4588,0,0.885,0.115
0,0,1,0
0.4215,0,0.641,0.359
0.3182,0,0.867,0.133
0.4404,0,0.508,0.492
0.5859,0,0.676,0.324
0,0,1,0
0.8541,0,0.823,0.177
0.2933,0.154,0.569,0.278
0.3071,0.182,0.611,0.206
0,0,1,0
0,0.164,0.672,0.164
0,0,1,0
-0.34,0.21,0.675,0.115
0.7168,0.102,0.695,0.203
0,0,1,0
0.4588,0,0.4,0.6
0.4939,0,0.682,0.318
-0.5473,0.183,0.726,0.091
0,0,1,0
0.3612,0.092,0.717,0.191
-0.5244,0.192,0.709,0.098
-0.5106,0.076,0.924,0
0,0,1,0
-0.4417,0.209,0.791,0
0,0,1,0
-0.296,0.109,0.891,0
0.3321,0.133,0.669,0.198
0,0,1,0
-0.6542,0.206,0.75,0.043
0.694,0,0.885,0.115
0,0,1,0
0,0,1,0
-0.4019,0.055,0.945,0
0.4019,0,0,1
0.3182,0,0.303,0.697
-0.1531,0.337,0.385,0.279
0,0,1,0
0,0,1,0
0.1531,0,0.849,0.151
0.4588,0,0,1
0.0258,0.086,0.824,0.09
0.3412,0,0.942,0.058
0.4404,0,0.508,0.492
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0.4019,0,0,1
-0.7555,0.312,0.57,0.118
-0.0258,0.205,0.598,0.197
0.3612,0,0.737,0.263
0,0,1,0
-0.0258,0.08,0.854,0.067
0.2598,0,0.942,0.058
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
-0.802,0.545,0.455,0
-0.4541,0.221,0.779,0
0,0,1,0
0,0,1,0
0.7645,0.061,0.613,0.325
0.4191,0,0.925,0.075
0,0,1,0
0.6369,0,0.435,0.565
-0.9412,0.165,0.759,0.076
0.818,0.093,0.779,0.128
0.4404,0,0.408,0.592
0.2732,0.275,0.29,0.435
-0.541,0.212,0.788,0
-0.98,0.173,0.743,0.084
0.631,0,0.885,0.115
-0.7579,0.247,0.685,0.068
-0.0387,0.18,0.607,0.213
0.4215,0,0.714,0.286
0,0,1,0
-0.5423,0.778,0.222,0
-0.5267,1,0,0
0.3612,0,0.737,0.263
-0.5574,0.204,0.796,0
-0.0772,0.211,0.602,0.188
0,0,1,0
-0.3182,0.148,0.852,0
0.7777,0.03,0.841,0.129
-0.4199,0.104,0.818,0.077
0,0,1,0
-0.3041,0.247,0.646,0.108
-0.4019,0.574,0.426,0
-0.1027,0.065,0.935,0
-0.296,0.122,0.799,0.08
-0.7579,0.115,0.885,0
0.5641,0.088,0.686,0.226
0,0,1,0
0.4019,0,0.829,0.171
0.3612,0,0.706,0.294
-0.4476,0.197,0.803,0
-0.296,0.423,0.577,0
0,0,1,0
-0.296,1,0,0
-0.296,0.18,0.82,0
0.2415,0.184,0.544,0.272
0,0,1,0
0.7003,0,0.655,0.345
0,0,1,0
0,0,1,0
0.2732,0,0.87,0.13
-0.5106,0.264,0.736,0
0,0,1,0
0.818,0.093,0.779,0.128
0.0258,0.146,0.703,0.151
-0.1759,0.175,0.825,0
0.4404,0,0.256,0.744
0.5106,0,0.815,0.185
0.5574,0,0.455,0.545
-0.2263,0.119,0.78,0.101
0,0,1,0
0,0,1,0
-0.7717,0.172,0.828,0
0.7003,0,0.633,0.367
-0.25,0.087,0.913,0
0.296,0,0.577,0.423
0.4404,0,0.633,0.367
-0.765,0.157,0.787,0.056
0,0,1,0
-0.6423,0.338,0.564,0.099
-0.7184,0.571,0.214,0.214
0.9188,0,0.666,0.334
0.4031,0.06,0.842,0.097
0.3182,0,0.931,0.069
0,0,1,0
0,0,1,0
-0.8979,0.686,0.314,0
0,0,1,0
0.4404,0,0.58,0.42
0.2244,0.135,0.657,0.208
0.4215,0.071,0.765,0.163
0,0,1,0
0,0,1,0
0.6249,0,0.844,0.156
0.796,0.085,0.626,0.288
0.4019,0.095,0.736,0.169
0.8326,0,0.719,0.281
0,0,1,0
0.4215,0,0,1
0,0,1,0
0.0772,0,0.894,0.106
0,0,1,0
0.0232,0.104,0.788,0.108
0.5423,0,0.886,0.114
-0.0749,0.205,0.795,0
-0.2238,0.136,0.864,0
0.4019,0.204,0.442,0.354
0,0,1,0
0,0,1,0
0,0,1,0
0.4003,0,0.803,0.197
-0.5574,0.247,0.753,0
0.3182,0,0.881,0.119
-0.3818,0.302,0.698,0
0.9423,0,0.686,0.314
0,0,1,0
0.3732,0.059,0.811,0.13
-0.5994,0.231,0.769,0
0.8625,0,0.422,0.578
0,0,1,0
0.2023,0,0.938,0.063
-0.4341,0.093,0.907,0
0.8206,0.11,0.666,0.224
0,0,1,0
0.4019,0,0.886,0.114
-0.296,0.167,0.833,0
0.1926,0,0.953,0.047
-0.3566,0.16,0.84,0
0.5859,0.075,0.645,0.28
-0.6808,0.384,0.616,0
0,0,1,0
0,0,1,0
0,0,1,0
0.0516,0.28,0.339,0.381
-0.2263,0.174,0.826,0
-0.8381,0.425,0.494,0.081
0,0,1,0
0,0,1,0
-0.4926,0.547,0.159,0.294
0.6114,0,0.2,0.8
0.6114,0,0.2,0.8
0,0,1,0
-0.9595,0.61,0.39,0
0,0,1,0
0.4404,0,0.868,0.132
0.7421,0.044,0.798,0.158
0,0,1,0
0.8834,0,0.756,0.244
0.2382,0,0.925,0.075
0.4572,0,0.858,0.142
-0.1531,1,0,0
0.2732,0,0,1
0,0,1,0
0,0,1,0
0,0,1,0
-0.7588,0.377,0.538,0.085
0.6124,0,0.839,0.161
0,0,1,0
-0.1779,0.221,0.619,0.159
0,0,1,0
0,0,1,0
-0.6531,0.352,0.648,0
0.4019,0,0.526,0.474
0.4497,0.133,0.631,0.237
0.4389,0.046,0.798,0.157
-0.25,0.093,0.837,0.069
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0.6908,0,0.759,0.241
0.4574,0.081,0.738,0.181
0.4215,0,0.896,0.104
0.6369,0,0.488,0.512
0,0,0,0
-0.3612,0.434,0.354,0.212
0,0,1,0
0.5423,0.074,0.737,0.189
-0.4939,0.262,0.738,0
0,0,1,0
0,0,1,0
-0.25,0.096,0.846,0.059
0.9909,0,0.717,0.283
0.4215,0,0.714,0.286
0.3802,0,0.834,0.166
0.5859,0,0.441,0.559
0,0,1,0
-0.5859,0.275,0.725,0
-0.5719,0.402,0.598,0
0.4404,0,0.674,0.326
-0.4215,0.135,0.865,0
0.2263,0,0.612,0.388
0,0,1,0
0.6249,0.142,0.553,0.304
-0.5574,0.419,0.581,0
0,0,1,0
0.4404,0,0.508,0.492
-0.7521,0.227,0.735,0.038
0,0,1,0
0.4184,0,0.418,0.582
0,0,1,0
-0.1695,0.156,0.844,0
0.4404,0,0.818,0.182
0.5927,0,0.939,0.061
0,0,1,0
0.296,0.087,0.75,0.163
0.8958,0,0.413,0.587
0.3818,0,0.794,0.206
0.4767,0,0.795,0.205
-0.6249,0.186,0.745,0.069
-0.296,0.155,0.845,0
0,0,1,0
-0.296,1,0,0
0.4926,0,0.556,0.444
-0.296,0.095,0.905,0
0.9169,0.065,0.653,0.281
0,0,1,0
0.2732,0.072,0.82,0.108
0,0,1,0
0.5773,0.111,0.566,0.323
0,0,1,0
0,0,1,0
0.128,0.373,0.169,0.458
-0.2732,0.16,0.84,0
0,0,1,0
0.4199,0,0.782,0.218
0.5975,0,0.507,0.493
-0.886,0.361,0.55,0.089
0.6626,0.088,0.74,0.172
-0.128,0.136,0.793,0.071
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0.3612,0,0.8,0.2
0,0,1,0
0.5562,0,0.736,0.264
0.4404,0,0.838,0.162
0.3612,0,0.894,0.106
